2-THETA,INTENSITY,
32.35,10000,#REF!
32.4,9702,
32.45,9056,
32.5,8551,
32.55,7853,
32.6,7219,
32.65,6300,
32.7,5291,
32.75,4398,
32.8,3583,
32.85,3053,
32.9,2781,
32.95,2730,
33,2937,
33.05,2962,
33.1,2950,
33.15,2678,
33.2,2497,
33.25,2160,
33.3,1928,
33.35,1772,
33.4,1578,
33.45,1565,
33.5,1527,
33.55,1539,
33.6,1578,
33.65,1514,
33.7,1578,
33.75,1527,
33.8,1527,
33.85,1514,
33.9,1552,
33.95,1565,
34,1591,
34.05,1630,
34.1,1798,
34.15,1746,
34.2,1953,
34.25,2393,
34.3,2846,
34.35,3351,
34.4,3933,
34.45,4373,
34.5,4877,
34.55,4955,
34.6,4994,
34.65,4825,
34.7,4476,
34.75,3920,
34.8,3506,
34.85,3221,
34.9,3079,
34.95,3014,
35,3338,
35.05,3519,
35.1,3583,
35.15,3700,
35.2,3583,
35.25,3506,
35.3,3415,
35.35,3260,
35.4,3105,
35.45,2924,
35.5,2794,
35.55,2755,
35.6,2755,
35.65,2975,
35.7,2937,
35.75,3221,
35.8,3364,
35.85,3415,
35.9,3493,
35.95,3428,
36,3247,
36.05,2846,
36.1,2484,
36.15,2160,
36.2,1902,
36.25,1695,
36.3,1695,
36.35,1669,
36.4,1824,
36.45,1940,
36.5,2057,
36.55,2264,
36.6,2497,
36.65,2471,
36.7,2367,
36.75,2329,
36.8,2160,
36.85,2122,
36.9,1928,
36.95,1928,
37,1992,
37.05,2122,
37.1,2160,
37.15,2342,
37.2,2432,
37.25,2354,
37.3,2238,
37.35,2251,
37.4,2160,
37.45,1940,
37.5,1928,
37.55,1889,
37.6,1656,
37.65,1552,
37.7,1449,
37.75,1449,
37.8,1397,
37.85,1320,
37.9,1384,
37.95,1345,
38,1384,
38.05,1371,
38.1,1462,
38.15,1514,
38.2,1514,
38.25,1565,
38.3,1539,
38.35,1501,
38.4,1475,
38.45,1539,
38.5,1552,
38.55,1475,
38.6,1449,
38.65,1410,
38.7,1371,
38.75,1358,
38.8,1216,
38.85,1229,
